id,created_on,last_edit,name,skill_cat_id
294,"2024-10-16 14:12:52.323540","2024-10-16 14:12:52.323549","운영",13
295,"2024-10-16 14:12:52.325215","2024-10-16 14:12:52.325223","서버",13
296,"2024-10-16 14:12:52.330647","2024-10-16 14:12:52.330655",jquery,13
297,"2024-10-16 14:12:52.344666","2024-10-16 14:12:52.344674","보안솔루션",13
298,"2024-10-16 14:12:52.349553","2024-10-16 14:12:52.349561",Bluetooth,13
299,"2024-10-16 14:12:52.350438","2024-10-16 14:12:52.350447","병역특례",13
300,"2024-10-16 14:12:52.353842","2024-10-16 14:12:52.353850",FW,13
301,"2024-10-16 14:12:52.354714","2024-10-16 14:12:52.354722","PCB설계",13
302,"2024-10-16 14:12:52.355601","2024-10-16 14:12:52.355610","hw설계",13
303,"2024-10-16 14:12:52.356501","2024-10-16 14:12:52.356509",MCU,13
304,"2024-10-16 14:12:52.358112","2024-10-16 14:12:52.358120","FPGA 설계",13
305,"2024-10-16 14:12:52.363530","2024-10-16 14:12:52.363539","embedded linux",13
306,"2024-10-16 14:12:52.368442","2024-10-16 14:12:52.368450","클라이언트",13
307,"2024-10-16 14:12:52.369327","2024-10-16 14:12:52.369335","그래픽스",13
308,"2024-10-16 14:12:52.370216","2024-10-16 14:12:52.370225","언리얼",13
309,"2024-10-16 14:12:52.380550","2024-10-16 14:12:52.380559","Test Case",13
310,"2024-10-16 14:12:52.381421","2024-10-16 14:12:52.381429",bash,13
311,"2024-10-16 14:12:52.382312","2024-10-16 14:12:52.382320",CI/CD,13
312,"2024-10-16 14:12:52.385838","2024-10-16 14:12:52.385846","전기전자",13
313,"2024-10-16 14:12:52.386718","2024-10-16 14:12:52.386726",CS,13
314,"2024-10-16 14:12:52.387585","2024-10-16 14:12:52.387594","운전면허",13
315,"2024-10-16 14:12:52.389261","2024-10-16 14:12:52.389269","대리점관리",13
316,"2024-10-16 14:12:52.390144","2024-10-16 14:12:52.390152","메카트로닉스",13
317,"2024-10-16 14:12:52.393707","2024-10-16 14:12:52.393715",istqb,13
